N,P,K,temperature,humidity,ph,labels
79,34,37,20.87974371,82.00274423,6.502985292,rice
78,21,20,21.77046169,80.31964408,7.038096361,rice
92,31,34,23.00445915,82.3207629,7.840207144,rice
98,38,45,26.49109635,80.15836264,6.980400905,rice
79,53,43,20.13017482,81.60487287,7.628472891,rice
65,50,36,23.05804872,83.37011772,7.073453503,rice
75,23,28,22.70883798,82.63941394,5.70080568,rice
95,35,21,20.27774362,82.89408619,5.718627178,rice
92,30,25,24.51588066,83.5352163,6.685346424,rice
69,35,60,23.22397386,83.03322691,6.336253525,rice
75,54,39,26.52723513,81.41753846,5.386167788,rice
98,36,44,23.97898217,81.45061596,7.50283396,rice
86,52,48,26.80079604,80.88684822,5.108681786,rice
86,20,31,24.01497622,82.05687182,6.98435366,rice
75,22,56,25.66585205,80.66385045,6.94801983,rice
66,35,39,24.28209415,80.30025587,7.042299069,rice
61,46,51,21.58711777,82.7883708,6.249050656,rice
69,45,28,23.79391957,80.41817957,6.970859754,rice
80,26,44,21.8652524,80.1923008,5.953933276,rice
100,46,34,23.57943626,83.58760316,5.85393208,rice
62,49,37,21.32504158,80.47476396,6.442475375,rice
63,21,53,25.15745531,83.11713476,5.070175667,rice
97,51,33,21.94766735,80.97384195,6.012632591,rice
81,42,52,21.0525355,82.67839517,6.254028451,rice
72,60,20,23.48381344,81.33265073,7.375482851,rice
84,25,56,25.0756354,80.52389148,7.778915154,rice
96,32,31,26.35927159,84.04403589,6.286500176,rice
76,49,21,24.52922681,80.54498576,7.070959995,rice
97,54,55,20.77576147,84.49774397,6.244841491,rice
67,20,45,22.30157427,80.64416466,6.043304899,rice
68,34,49,21.44653958,84.94375962,5.824709117,rice
98,41,31,22.17931888,80.33127223,6.357389366,rice
63,44,27,24.52783742,82.73685569,6.364134968,rice
94,25,30,20.26707606,81.63895217,5.01450727,rice
83,20,58,25.7354293,83.88266234,6.149410611,rice
97,28,35,26.79533926,82.1480873,5.950660556,rice
78,23,40,26.75754171,81.17734011,5.960370061,rice
74,42,29,23.86330467,83.15250801,5.561398642,rice
68,60,49,21.01944696,82.95221726,7.416245107,rice
96,49,24,24.17298839,83.7287574,5.583370042,rice
92,56,27,22.78133816,82.06719137,6.430010215,rice
73,47,23,25.62980105,83.52842314,5.534878156,rice
89,51,23,25.59704938,80.14509262,6.903985986,rice
83,44,50,23.83067496,84.81360127,6.271478838,rice
100,38,51,26.31355498,82.36698992,7.224285503,rice
84,49,31,24.8972823,80.52586088,6.13428721,rice
74,58,46,24.958779,84.47963372,5.206373153,rice
91,46,39,23.24113501,84.59201843,7.782051313,rice
76,23,55,21.66628296,80.70960551,7.062779015,rice
67,40,30,24.63544858,80.41363018,7.730367824,rice
71,48,22,23.43121862,83.06310136,5.286203711,rice
96,44,57,20.0454142,80.3477562,6.766240045,rice
91,52,39,23.85724032,82.22572988,7.382762603,rice
93,20,36,21.97199397,81.89918197,5.658169482,rice
73,30,40,26.22916897,83.83625819,5.543360238,rice
78,34,25,23.44676801,84.79352417,6.215109715,rice
61,34,32,25.65553461,83.47021081,7.120272972,rice
83,31,39,24.44345477,82.45432595,5.950647577,rice
83,21,21,20.2801937,82.1235421,7.236705436,rice
93,39,39,21.7238313,80.2389895,6.501697816,rice
74,46,60,20.41447029,82.20802629,7.592490617,rice
90,25,42,25.75528612,83.51827127,5.875345751,rice
71,31,52,20.61521424,83.77345559,6.932400225,rice
62,44,26,21.84106875,80.72886384,6.946209881,rice
78,45,56,20.08369642,83.29114712,5.739175027,rice
99,37,60,24.45802087,82.74835604,6.738652179,rice
91,43,57,21.14347496,80.33502926,5.594819626,rice
92,42,20,25.78720567,82.11124033,6.946636369,rice
66,30,47,23.64124821,80.28597873,5.012139669,rice
100,57,31,23.43191632,80.56887849,6.363472208,rice
75,59,44,24.97669518,83.891805,6.880431223,rice
76,31,60,22.72791041,82.1706881,7.300410836,rice
64,33,26,24.87300744,82.84022551,6.587918708,rice
82,45,26,21.32376327,83.00320459,7.283736617,rice
78,23,42,26.29465461,84.56919326,7.023936392,rice
99,51,39,22.2286982,81.85872947,6.939083505,rice
77,41,44,26.73072391,81.78596776,7.868474653,rice
88,32,32,24.88921174,81.97927117,5.005306977,rice
75,21,54,26.88444878,81.46033732,6.136131869,rice
95,32,57,22.67846116,83.72874389,7.524080076,rice
92,40,28,26.08867875,80.37979919,5.706943251,rice
91,42,38,25.42977518,82.94682591,5.758506323,rice
96,49,22,26.40323239,81.05635517,6.349606327,rice
98,20,50,26.04371967,84.96907151,5.999969026,rice
80,43,59,25.2827223,80.54372813,5.453592032,rice
89,44,29,22.08576562,83.47038318,6.372576327,rice
74,45,57,23.28617173,81.43321641,5.105588355,rice
91,26,60,25.48591986,81.40633547,5.935344406,rice
85,44,33,23.67575393,81.03569343,5.17782304,rice
82,36,25,20.82477109,84.1341879,6.462391607,rice
81,30,26,26.92995077,81.91411159,7.069172227,rice
71,53,27,23.83509503,83.88387074,7.473134377,rice
98,26,32,26.52872817,80.12267476,6.158376967,rice
92,26,36,26.46428311,83.85642678,7.549873681,rice
98,44,22,22.69657794,82.81088865,6.028321558,rice
82,34,38,22.68319059,83.46358271,6.604993475,rice
81,35,40,21.53346343,82.14004101,6.500343222,rice
90,22,42,21.40865769,83.3293191,5.935745417,rice
85,59,26,26.54348085,84.67353597,7.072655622,rice
92,25,59,23.35905428,83.59512273,5.333322606,rice
81,27,18,22.61359953,63.69070564,5.749914421,maize
98,41,13,26.10018422,71.57476937,6.931756558,maize
88,53,0,23.55882094,71.59351368,6.657964753,maize
79,24,20,19.97215954,57.68272924,6.596060648,maize
68,44,1,18.47891261,62.69503871,5.970458434,maize
95,49,25,21.77689322,57.80840636,6.158830619,maize
87,34,6,25.6217169,66.50415474,6.047906679,maize
80,31,1,25.19192419,66.6902901,5.913664501,maize
93,24,24,20.41683147,62.5542482,5.855442401,maize
78,44,26,24.92162194,66.78627406,5.750254943,maize
67,56,35,23.31689124,73.4541537,5.852607099,maize
93,26,9,24.84016732,68.3584573,6.472523287,maize
97,44,15,22.27526694,58.84015925,6.967057762,maize
95,40,34,18.87751445,65.76816093,6.082973754,maize
90,43,3,25.19008683,60.2001687,5.919045532,maize
94,50,0,18.25405352,55.28220433,6.204747653,maize
73,59,32,24.6129118,70.4162444,6.600827017,maize
62,21,31,25.1420613,65.26185135,6.021902237,maize
73,51,14,23.09348056,60.1159381,6.033550195,maize
70,38,4,18.05033737,62.89366992,6.28886807,maize
92,43,18,24.9321581,73.80435276,6.550563823,maize
64,36,0,18.14710054,71.09445342,5.573286437,maize
70,56,9,18.28362235,66.65952796,6.829199275,maize
80,51,35,18.83344471,58.75082029,5.716222912,maize
91,50,33,25.71895816,67.22190688,5.54990242,maize
69,31,28,25.33797709,68.49835977,6.586244581,maize
79,27,19,23.89114571,57.48775781,5.893093135,maize
100,54,33,21.53574127,71.50905983,5.918263801,maize
77,33,20,23.08974909,63.10459626,5.588650585,maize
61,53,28,25.61707368,63.4711755,6.576418207,maize
100,40,6,21.44526922,63.1621551,6.178056304,maize
85,24,39,18.51816776,55.53128131,6.641906353,maize
84,53,29,22.53510514,67.99257471,6.489040367,maize
69,56,38,23.02038334,61.89472002,5.680361038,maize
81,41,37,24.89364635,65.61418761,6.625404348,maize
74,40,29,25.77175115,74.089114,6.524478032,maize
86,33,17,19.39851734,62.35750641,5.696205468,maize
84,42,4,21.54156232,59.64024162,6.803931519,maize
70,41,12,23.79746068,74.82913698,6.252797548,maize
63,56,22,18.9802729,74.52600826,6.092725883,maize
66,28,35,24.10859207,73.13112261,6.234330356,maize
99,35,13,24.7947077,70.04556743,5.722579819,maize
66,33,6,21.63162756,60.27766379,6.430616465,maize
96,36,36,25.37548751,57.21025565,5.983952675,maize
62,47,0,22.21738222,72.85462807,6.80163854,maize
72,42,26,20.58314011,69.00128641,6.499936446,maize
87,47,35,24.87502824,68.74248334,6.265564338,maize
96,22,36,20.03728219,56.35606753,6.727303282,maize
64,54,24,25.95263264,61.89082199,6.325235159,maize
63,22,10,19.28889933,65.47050802,6.807487794,maize
71,42,20,20.57981887,65.34583901,6.671085817,maize
74,35,14,24.71417533,56.73426469,6.648725327,maize
88,39,3,20.27317074,63.91281869,6.439071996,maize
94,37,3,18.41932981,64.23580251,6.474476516,maize
82,30,29,23.39128187,61.74427165,5.871647806,maize
73,34,35,19.84939404,61.24500053,5.730617109,maize
61,41,28,21.869274,61.91044947,5.850439831,maize
96,38,33,22.8056033,56.50768935,5.791649933,maize
77,30,8,19.0781471,69.02298571,6.740000688,maize
61,33,29,22.02720976,65.35549924,6.272417541,maize
70,28,33,23.80546189,59.24537979,5.715208817,maize
96,32,4,18.52510753,69.0276233,5.773454729,maize
83,35,27,23.50297882,61.32026065,5.584171461,maize
73,25,38,26.54986394,72.89187265,5.787268394,maize
93,57,21,19.29563411,69.63481219,5.77597783,maize
68,60,18,20.68899915,59.4375337,6.864793607,maize
69,60,37,19.32666088,68.034493,6.192360003,maize
92,31,1,24.60532218,73.58868502,6.636803223,maize
72,21,12,22.27373646,59.52193158,5.826426917,maize
89,42,13,25.70196694,61.33450447,6.960358276,maize
95,43,36,19.20129357,68.30578978,6.11275104,maize
73,39,30,21.70181447,60.47470519,6.708446922,maize
61,36,39,20.51716779,59.21235483,5.561510732,maize
87,41,21,23.30355338,73.62548442,5.873242491,maize
88,31,31,24.2547451,55.64709899,6.995843776,maize
78,50,18,24.86374934,65.7420046,5.714799723,maize
74,44,40,22.6265115,65.77472881,6.78073637,maize
70,52,20,18.04185513,60.61494304,5.513697923,maize
87,48,2,23.26237612,72.33125523,5.798423908,maize
67,30,11,22.88330922,71.59722446,6.352471866,maize
86,59,10,25.97482359,69.36385721,6.822586546,maize
92,46,16,26.14384005,66.20569924,6.655426355,maize
79,31,30,18.66116213,61.55327249,6.121294041,maize
87,59,30,25.10787449,55.97732754,5.790770203,maize
83,23,23,23.33844615,59.24580604,6.47444292,maize
64,51,11,25.08239719,65.92195844,6.455116637,maize
