N,P,K,temperature,humidity,ph,fertilizers
79,34,37,20.87974371,82.00274423,6.502985292,Low P content : Add Rock Phosphate
78,21,20,21.77046169,80.31964408,7.038096361,"Low P and K content: Add Superphosphate (OSP), Add Potassium chloride (0-0-60) "
92,31,34,23.00445915,82.3207629,7.840207144,"High N , Low P content : Add mulch on the top of the soil, Add Diammonium Phosphate (DAP)"
98,38,45,26.49109635,80.15836264,6.980400905,"High N-K , Low P,  content : Frequent watering with neutral ph, Add Ammonium Polyphosphate (APP)"
79,53,43,20.13017482,81.60487287,7.628472891,No fertilizer required
65,50,36,23.05804872,83.37011772,7.073453503,Low N: Add Urea Fertilizer (46-0-0)
75,23,28,22.70883798,82.63941394,5.70080568,"Low P and K content: Add Concentrated Superphosphate (CSP), Add Potassium chloride (0-0-60) "
95,35,21,20.27774362,82.89408619,5.718627178,"High N, Low P-K :Add mulch on the top of the soil, Add Ammonium Polyphosphate (APP), Potassium-magnesium sulfate "
92,30,25,24.51588066,83.5352163,6.685346424,"High N, Low P-K :Add mulch on the top of the soil, Add Rock Phosphate, Potassium peroxodisulfate"
69,35,60,23.22397386,83.03322691,6.336253525,"Low N-P, High K: Add Ammonium Sulfate, Superphosphate (OSP), Frequent watering with neutral ph"
75,54,39,26.52723513,81.41753846,5.386167788,No fertilizer required
98,36,44,23.97898217,81.45061596,7.50283396,"High N-K , Low P,  content : Frequent watering with neutral ph, Add Concentrated Superphosphate (CSP)"
86,52,48,26.80079604,80.88684822,5.108681786,"High N-K , Low P,  content : Frequent watering with neutral ph, Add Diammonium Phosphate (DAP)"
86,20,31,24.01497622,82.05687182,6.98435366,"High N, Low P-K: Add mulch on the top of the soil, Add Ammonium Polyphosphate (APP) ,Potassium thiocyanate"
75,22,56,25.66585205,80.66385045,6.94801983,"Low P, High K: Add Rock Phosphate,Add only 1:1:0 nutrients"
66,35,39,24.28209415,80.30025587,7.042299069,"Low N-P : Add N-Primer Nitrogen Supplement , Superphosphate (OSP)"
61,46,51,21.58711777,82.7883708,6.249050656,"Low N, High K : Add Urea Fertilizer, dont add K rich nutrients"
69,45,28,23.79391957,80.41817957,6.970859754,"Low N-K:Add Ammonium Sulfate, Potassium nitrate"
80,26,44,21.8652524,80.1923008,5.953933276,"Low P, High K: Add Superphosphate (OSP),Add only 1:1:0 nutrients"
100,46,34,23.57943626,83.58760316,5.85393208,"Very High N: Add mulch on the top of the soiL, frequent watering with neutral ph"
62,49,37,21.32504158,80.47476396,6.442475375,Low N : Add N-Primer Nitrogen Supplement
